['Captured 64.12% - clip_general', 'Captured 100.00% - clip_circle_mask']
['Captured 77.64% - clip_general', 'Captured 99.69% - clip_circle_mask']
['Captured 41.15% - clip_general', 'Captured 100.00% - clip_circle_mask']
['Captured 57.53% - clip_general', 'Captured 100.00% - clip_circle_mask']
['Captured 36.26% - clip_general', 'Captured 93.96% - clip_circle_mask']
['Captured 73.90% - clip_general', 'Captured 100.00% - clip_circle_mask']
['Captured 37.35% - clip_general', 'Captured 100.00% - clip_circle_mask']
['Captured 68.68% - clip_general', 'Captured 87.47% - clip_circle_mask']
['Captured 75.90% - clip_general', 'Captured 99.61% - clip_circle_mask']
['Captured 76.33% - clip_general', 'Captured 98.29% - clip_circle_mask']
['clip_circle_mask won 100.0% of the time']
